New Run at  02/01/2016 09:16:48
, Time, RandomReward; CFUCBReward; 
data,1257757980000,10;74374;14
data,1269692394000,10;86237;14
data,1280743102000,10;64585;14
data,1289043833000,10;59943;14
data,1237563292000,10;101577;14
data,1283926241000,10;42575;14
data,1288024824000,10;104995;14
data,1289306069000,10;7810;14
data,1288019959000,10;74357;14
data,1256242330000,10;35689;14
data,1289091547000,10;67086;14
data,1286894804000,10;104428;14
data,1223564868000,10;52125;15
data,1284470170000,10;80128;15
data,1287810455000,10;23704;15
data,1267153669000,10;15514;15
data,1286181067000,10;66785;15
data,1286277475000,10;54551;15
data,1216942453000,10;46418;15
data,1165311866000,10;73842;15
data,1274342674000,10;104468;15
data,1254235710000,10;82799;15
data,1287092670000,10;28186;15
data,1285964473000,10;11840;15
data,1287078317000,10;71601;15
data,1273211211000,10;68890;15
data,1286109837000,10;47476;15
data,1287143963000,10;98419;15
data,1278048643000,10;99309;15
data,1282705474000,10;57964;15
data,1288023815000,10;69189;15
data,1271834887000,10;57661;15
data,1272093142000,10;24431;15
data,1257187846000,10;92319;15
data,1289168447000,10;39690;15
data,1256108511000,10;96672;15
data,1289054620000,10;62915;15
data,1281530725000,10;34641;15
data,1282270988000,10;78686;15
data,1271314250000,10;68807;15
data,1287760476000,10;44631;15
data,1287943341000,10;4857;15
data,1279249285000,10;51205;15
data,1170127495000,10;71770;15
data,1287351663000,10;9097;15
data,1271062025000,10;74038;15
data,1285479447000,10;40289;15
data,1276682620000,10;702;16
data,1285020762000,10;36465;16
data,1265910678000,10;86051;16
data,1281195644000,10;54526;16
data,1288180655000,10;52146;16
data,1288149316000,10;6479;16
data,1288874268000,10;30899;16
data,1287348735000,10;5109;16
data,1285438379000,10;32143;16
data,1279760489000,10;83662;16
data,1263862970000,10;52460;16
data,1286990897000,10;69610;16
data,1281006772000,10;60033;16
data,1282273081000,10;77004;16
data,1286893571000,10;24066;16
data,1289000393000,10;68769;16
data,1225993279000,10;8962;16
data,1209970048000,10;81569;16
data,1283261889000,10;42303;16
data,1237193137000,10;102819;16
data,1248245817000,10;94471;16
data,1210617529000,10;67220;16
data,1287516212000,10;80122;17
data,1263559650000,10;53973;17
data,1283323944000,10;75829;18
data,1246293956000,10;23723;18
data,1285354851000,10;6181;18
data,1265859216000,11;77783;18
data,1275495764000,11;74290;18
data,1288989546000,11;34772;18
data,1287702364000,11;50020;18
data,1284973446000,11;66322;18
data,1279194673000,11;30972;18
data,1287457855000,11;37789;18
data,1287268696000,11;44165;18
data,1263415750000,11;47955;18
